species			H	O	C	He	N	S	P	Na	K	Si	Fe  Ar 	Ti	V	Mg	Ca	e 	mass      
H				1	0	0	0	0	0	0	0	0	0	0	0   0   0	0	0   0   1.008
H2				2	0	0	0	0	0	0	0	0	0	0	0   0   0	0	0   0   2.016
OH				1	1	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   17.008
H2O				2	1	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   18.016
O				0	1	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   16.0
O_1				0	1	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   16.0
O2				0	2	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   32.0
O3				0	3	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   48.0
HO2				1	2	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   33.008
H2O2			2	2	0	0	0	0	0	0	0	0	0	0	0   0	0	0   0   34.016
CH				1	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   13.019
CH2				2	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   14.027
CH2_1			2	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   14.027
CH3				3	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   15.035
CH4				4	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   16.043
C2H				1	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   25.03
C2H2			2	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   26.038
C2H3			3	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   27.046
C2H4			4	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   28.054
C2H5			5	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   29.062
C2H6			6	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   30.07
C4H2			2	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   50.06
CO				0	1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   28.011
CO2				0	2	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   44.011
HCO				1	1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   29.019
H2CO			2	1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   30.027
CH2OH			3	1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   31.035
CH3OH			4	1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   32.043
CH3CO			3	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   43.046
HCCO			1	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   41.03
H2CCO			2	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   42.038
C				0	0	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   12.011
C2				0	0	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   24.022
CH3O			3	1	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   31.035
N				0	0	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   14.007
N_2D			0	0	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   14.007
N2				0	0	0	0	2	0	0	0	0	0	0	0	0   0	0	0   0   28.014
NH				1	0	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   15.015
NH2				2	0	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   16.023
NH3				3	0	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   17.031
NO				0	1	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   30.007
NO2				0	2	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   46.007
CN				0	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   26.018
HCN				1	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   27.026
He				0	0	0	1	0	0	0	0	0	0	0	0	0   0	0	0   0   4.003
N2H2			2	0	0	0	2	0	0	0	0	0	0	0	0   0	0	0   0   30.03
N2H				1	0	0	0	2	0	0	0	0	0	0	0	0   0	0	0   0   29.022
CH2NH			3	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   29.042
CH2NH2			4	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   30.05
CH3NH			4	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   30.05
CH3NH2			5	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   31.058
N2H3			3	0	0	0	2	0	0	0	0	0	0	0	0   0	0	0   0   31.038
N2H4			4	0	0	0	2	0	0	0	0	0	0	0	0   0	0	0   0   32.046
C3H2			2	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   38.049
C3H3			3	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   39.057
C3H4			4	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   40.065
C3H5			5	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   41.073
C3H6			6	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   42.081
C3H7			7	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   43.089
C3H8			8	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   44.097
CH2CCH2			4	0	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   40.065
C4H 			1	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   49.052
C4H2			2	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   50.06
C4H3			3	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   51.068
C4H4			4	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   52.076
C4H5			5	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   53.084
C4H6			6	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   54.092
C4H7			7	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   55.1
C4H8			8	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   56.108
C4H9			9	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   57.116
C4H10			10	0	4	0	0	0	0	0	0	0	0	0	0   0	0	0   0   58.124
C2H3O			3	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   43.046
CH3CHO			4	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   44.054
C2H4OH			5	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   45.062
C2H5OH			6	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   46.07
C2H4O			4	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   44.054
C2H5O			5	1	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   45.062
C2H5OO			5	2	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   61.062
CH3O2			3	2	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   47.035
CH3OOH			4	2	1	0	0	0	0	0	0	0	0	0	0   0	0	0   0   48.043
C2H5OOH			6	2	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   62.070
CH3OCO			3	2	2	0	0	0	0	0	0	0	0	0	0   0	0	0   0   59.046
C2H3CHO			4	1	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   56.065
C2H5CHO			6	1	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   58.081
C2H6CO			6	1	3	0	0	0	0	0	0	0	0	0	0   0	0	0   0   58.081
H2CN			2	0	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   28.034
CH2CN			2	0	2	0	1	0	0	0	0	0	0	0	0   0	0	0   0   40.045
CH3CN			3	0	2	0	1	0	0	0	0	0	0	0	0   0	0	0   0   41.053
CH3OOH          4   2   1   0   0   0	0	0	0	0	0   0	0   0	0	0   0   48.043
CH3O2           3   2   1   0   0   0	0	0	0	0	0	0	0   0	0	0   0   47.035
HC2N			1	0	2	0	1	0	0	0	0	0	0	0	0   0	0	0   0   39.037
HC3N			1	0	3	0	1	0	0	0	0	0	0	0	0   0	0	0   0   51.048
HNO				1	1	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   31.015
HNO2 			1	2	0	0	1	0	0	0	0	0	0	0	0   0	0	0   0   47.015
N2O				0	1	0	0	2	0	0	0	0	0	0	0	0   0	0	0   0   44.014
NCO				0	1	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   42.018
H2NN			2	0	0	0	2	0	0	0	0	0	0	0	0   0	0	0   0   30.03
HNCO			1	1	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   43.026
CH3NO			3	1	1	0	1	0	0	0	0	0	0	0	0   0	0	0   0   45.042
C2H3CN			3	0	3	0	1	0	0	0	0	0	0	0	0   0	0	0   0   53.064
C2H2CN			2	0	3	0	1	0	0	0	0	0	0	0	0   0	0	0   0   52.056
NO3             0   3   0   0   1   0   0   0   0   0   0   0	0   0	0	0   0   62.007
HNO3            1   3   0   0   1   0   0   0   0   0   0   0	0   0	0	0   0   63.015
N2O5            0   5   0   0   2   0   0   0   0   0   0   0   0   0	0	0   0   108.014
N2O3			0	3	0	0	2	0   0   0   0   0   0	0	0   0	0	0   0   76.014
N2O4			0	4	0	0	2	0   0   0   0   0   0	0	0   0	0	0   0   92.014
HNOH			2	1	0	0	1	0   0   0   0   0   0	0	0   0	0	0   0   32.023
NH2OH			3	1	0	0	1	0   0   0   0   0   0	0	0   0	0	0   0   33.031
H2NO			2	1	0	0	1	0   0   0   0   0   0	0	0   0	0	0   0   32.023
HCNN			1	0	1	0	2	0   0   0   0   0   0	0	0   0	0	0   0   41.033
HONO			1	2	0	0	1	0   0   0   0   0   0	0	0   0	0	0   0   47.015
CNN				0	0	1	0	2	0   0   0   0   0   0	0	0   0	0	0   0   40.025
HCNO			1	1	1	0	1	0   0   0   0   0   0	0	0   0	0	0   0   43.026
H2CNO			2	1	1	0	1	0   0   0   0   0   0	0	0   0	0	0   0   44.034
HOCN			1	1	1	0	1	0   0   0   0   0   0	0	0   0	0	0   0   43.026
HCNH			2	0	1	0	1	0   0   0   0   0   0	0	0   0	0	0   0   28.034
C2N2			0	0	2	0	2	0   0   0   0   0   0	0	0   0	0	0   0   52.036
CH3NO2			3	2	1	0	1	0   0   0   0   0   0	0	0   0	0	0   0   61.042
HONO2			1	3	0	0	1	0   0   0   0   0   0	0	0   0	0	0   0   63.015
NCN				0	0	1	0	2	0   0   0   0   0   0	0	0   0	0	0   0   40.015
C2H4HO2			5	2	2	0	0	0   0   0   0   0   0	0	0   0	0	0   0   61.062
CH3ONO			3	2	1	0	1	0   0   0   0   0   0	0	0   0	0	0   0   61.042
CO2H			1	2	1	0	0	0   0   0   0   0   0	0	0   0	0	0   0   45.019
S               0	0	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	32.06
S2              0	0	0	0	0	2   0   0   0   0   0	0	0   0	0	0   0	64.12
S3              0	0	0	0	0	3   0   0   0   0   0	0	0   0	0	0   0	96.18
S4              0	0	0	0	0	4   0   0   0   0   0	0	0   0	0	0   0	128.24
S8              0	0	0	0	0	8   0   0   0   0   0	0	0   0	0	0   0	256.48
SH              1	0	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	33.068
H2S             2	0	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	34.076
HS2             1	0	0	0	0	2   0   0   0   0   0	0	0   0	0	0   0	65.128
CS              0	0	1	0	0	1   0   0   0   0   0	0	0   0	0	0   0	44.17
CS2             0	0	1	0	0	2   0   0   0   0   0	0	0   0	0	0   0	76.23
COS             0	1	1	0	0	1   0   0   0   0   0	0	0   0	0	0   0	60.17
HCS             1	0	1	0	0	1   0   0   0   0   0	0	0   0	0	0   0	45.178
SO              0	1	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	48.06
SO2             0	2	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	64.06
SO3             0	3	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	80.06
HSO             1	1	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	49.068
HSO3            1	3	0	0	0	1   0   0   0   0   0	0	0   0	0	0   0	81.068
H2S2            2	0	0	0	0	2   0   0   0   0   0	0	0   0	0	0   0	66.136
