species			H	O	C	He	N	S	mass             
H				1	0	0	0	0	0	 1.008
H2				2	0	0	0	0	0	 2.016	
OH				1	1	0	0	0	0	17.008
H2O				2	1	0	0	0	0	18.016
O				0	1	0	0	0	0	16.000
O2				0	2	0	0	0	0	32.000
O3				0	3	0	0	0	0	48.000
HO2				1	2	0	0	0	0	33.016
H2O2			2	2	0	0	0	0	34.016
CH				1	0	1	0	0	0	13.019
CH2				2	0	1	0	0	0	14.027
CH3				3	0	1	0	0	0	15.035	
CH4				4	0	1	0	0	0	16.043
C2H				1	0	2	0	0	0	25.030
C2H2			2	0	2	0	0	0	26.038
C2H3			3	0	2	0	0	0	27.046
C2H4			4	0	2	0	0	0	28.054
C2H5			5	0	2	0	0	0	29.062
C2H6			6	0	2	0	0	0	30.070	
C4H2			2	0	4	0	0	0	50.060
CO				0	1	1	0	0	0	28.011
CO2				0	2	1	0	0	0	44.011	
HCO				1	1	1	0	0	0	29.019
H2CO			2	1	1	0	0	0	30.027	
CH2OH			3	1	1	0	0	0	31.035
CH3OH			4	1	1	0	0	0	32.043	
CH3CO			3	1	2	0	0	0	43.046	
HCCO			1	1	2	0	0	0	41.030	
H2CCO			2	1	2	0	0	0	42.038
C				0	0	1	0	0	0	12.011
C2				0	0	2	0	0	0	24.022
CH3O			3	1	1	0	0	0	31.035
He				0	0	0	1	0	0	4.003
